,Open,High,Close
3170,50.06,52.08,50.22
3169,50.79,54.59,54.21
3168,55.44,56.8,54.75
3167,55.68,55.86,52.49
3166,52.53,54.05,53.05
3165,52.53,54.03,54.01
3164,54.1,54.36,53.13
3163,52.8,52.8,51.06
3162,51.21,51.91,51.24
3161,51.4,51.54,50.18
3160,49.59,51.24,50.81
3159,50.53,50.92,50.06
3158,50.56,51.05,50.84
3157,50.42,51.57,51.2
3156,51.3,51.41,51.21
3155,50.85,53.33,52.72
3154,53.37,54.26,53.8
3153,53.77,56.06,55.8
3152,55.34,57.17,56.06
3151,56.23,57.96,57.04
3150,57.27,58.8,58.8
3149,58.53,60.86,59.74
3148,60.16,60.27,58.98
3147,58.78,59.89,59.25
3146,59.48,61.38,60.47
3145,60.55,62.11,59.97
3144,59.84,60.5,59.19
3143,60.64,63.76,63.49
3142,63.33,67.58,65.61
3141,65.01,66.22,64.86
3140,65.47,67.19,66.36
3139,67.98,68.5,67.6
3138,67.4,69.33,69.25
3137,68.9,69.29,68.61
3136,68.35,70.01,69.49
3135,69.43,69.91,68.93
3134,68.57,69.5,67.7
3133,67.31,68.87,68.77
3132,71.73,71.85,70.52
3131,70.58,71.26,71.07
3130,72.55,72.82,72.13
3129,71.67,74.67,74.65
3128,75.33,76.28,74.04
3127,74.04,74.57,70.32
3126,72.14,75.14,74.76
3125,85.3,90.18,86.3
3124,88.23,97.31,93.79
3123,93.32,96.42,90.99
3122,91.24,94.85,93.08
3121,93.41,97.29,96.75
3120,99.53,100.07,95.42
3119,96.85,98.93,98.11
3118,99.46,99.72,97.53
3117,99.19,100.9,95.93
3116,94.22,95.3,92.44
3115,91.09,91.24,84.76
3114,85.55,87.81,86.36
3113,87.14,87.69,84.43
3112,85.42,86.35,84.01
3111,84.65,91.97,91.6
3110,92.71,94.99,91.09
3109,90.32,94.25,92.53
3108,88.84,89.82,86.36
3107,84.59,88.84,86.34
3106,85.29,87.3,83.85
3105,84.61,85.07,84.78
3104,84.41,84.84,82.63
3103,84.04,85.5,83.84
3102,87.51,88.69,87.47
3101,87.99,90.11,89.78
3100,90.22,91.57,90.62
3099,90.44,91.59,91.08
3098,90.98,91.34,90.07
3097,90.04,90.85,89.79
3096,90.09,90.62,90.29
3095,89.65,90.44,88.23
3094,88.09,88.19,85.8
3093,85.37,86.93,85.07
3092,85.21,86.84,86.8
3091,86.8,87.53,85.91
3090,86.1,86.68,85.31
3089,85.59,89.5,89.43
3088,89.08,90.44,89.98
3087,88.7,90.34,88.32
3086,88.47,90.34,90.13
3085,91.09,94.32,92.6
3084,93.23,94.03,91.97
3083,92.04,93.52,93.24
3082,93.82,94.39,94.04
3081,94.67,96.75,96.05
3080,96.15,96.87,96.48
3079,96.08,96.86,96.55
3078,96.58,99.21,98.9
3077,99.71,100.04,96.49
3076,98.8,101.92,101.46
3075,100.77,101.57,97.35
3074,96.82,98.55,96.85
3073,97.72,98.05,94.37
3072,95.42,97.22,97.02
3071,97.35,99.15,97.63
3070,97.91,98.95,96.87
3069,97.26,98.06,97.79
3068,97.79,98.79,97.76
3067,98.1,100.11,100.08
3066,100.55,102.61,102.05
3065,102.42,102.75,98.75
3064,96.39,98.22,97.06
3063,97.32,97.78,94.23
3062,94.44,94.76,90.45
3061,91.19,91.21,88.65
3060,89.72,94.8,94.71
3059,94.47,94.52,94.13
3058,95.11,97.45,95.27
3057,96.94,98.28,97.91
3056,97.29,101.98,96.05
3055,107.88,108.51,103.08
3054,103.1,106.79,105.54
3053,103.34,103.98,102.28
3052,102.73,103.3,98.11
3051,98.58,100.11,99.42
3050,100.48,100.9,95.89
3049,96.08,96.2,94.08
3048,93.42,96.26,93.79
3047,91.52,96.64,96.59
3046,96.9,100.02,97.71
3045,97.45,99.76,99.3
3044,99.01,99.97,99.05
3043,99.35,99.52,99.07
3042,98.35,99.55,95.78
3041,96.75,97.34,97.07
3040,91.78,95.02,94.54
3039,94.67,95.05,93.03
3038,93.09,95.03,94.09
3037,94.74,94.97,93.12
3036,93.07,93.93,92.68
3035,93.16,93.97,93.6
3034,93.44,93.72,93.04
3033,93.98,94.89,94.5
3032,94.64,95.02,92.69
3031,92.2,92.42,90.77
3030,90.6,90.69,90.08
3029,90.31,90.57,88.99
3028,89.25,89.29,87.58
3027,87.74,90.09,89.39
3026,88.44,89.39,87.89
3025,88.65,89.91,89.73
3024,89.49,90.29,90.11
3023,89.72,91.18,90.53
3022,90.68,91.06,89.39
3021,89.07,90.21,89.58
3020,90.44,90.52,89.71
3019,90.93,92.49,90.8
3018,90.62,91.73,89.87
3017,90.41,90.82,90.32
3016,89.06,90.79,90.35
3015,90.97,91.57,90.11
3014,90.06,92.75,92.74
3013,93.96,95.23,94.38
3012,94.71,94.92,94.7
3011,94.48,97.41,96.98
3010,96.94,97.65,96.12
3009,96.64,97.5,96.71
3008,96.6,97.31,97.07
3007,96.83,97.26,96.56
3006,96.73,97.28,95.82
3005,95.15,95.27,92.59
3004,92.38,94.03,93.58
3003,94.76,96.1,95.8
3002,99.39,100.35,99.15
3001,100.31,102.6,102.21
3000,111.56,112.11,108.01
2999,109.02,112.48,111.88
2998,110.22,111.11,109.48
2997,109.1,110.54,110.0
2996,109.86,111.15,109.83
2995,111.07,111.24,110.11
2994,111.14,111.96,111.26
2993,111.04,114.19,113.21
2992,113.73,115.06,114.36
2991,114.42,114.42,113.6
2990,114.31,114.74,114.12
2989,114.11,114.36,113.12
2988,112.85,114.01,114.01
2987,114.6,116.11,115.76
2986,115.52,116.23,114.47
2985,114.7,115.66,114.73
2984,114.95,115.93,115.64
2983,115.4,116.84,116.68
2982,116.92,120.1,119.7
2981,120.29,120.71,119.71
2980,120.73,120.96,120.93
2979,121.7,129.18,127.85
2978,128.61,132.85,128.13
2977,126.49,130.62,130.54
2976,130.61,132.01,129.73
2975,130.36,133.16,133.13
2974,134.85,139.34,138.77
2973,141.74,146.59,144.14
2972,144.51,145.03,144.09
2971,143.54,144.79,140.27
2970,141.34,147.02,145.62
2969,148.7,149.94,146.71
2968,146.57,146.74,139.92
2967,142.5,144.39,143.3
2966,143.64,143.78,141.39
2965,140.05,142.24,141.52
2964,139.43,140.76,139.31
2963,137.64,138.79,137.54
2962,137.27,139.29,138.86
2961,139.6,140.3,140.3
2960,138.18,143.98,143.49
2959,144.18,145.3,144.06
2958,144.98,146.31,144.79
2957,144.14,147.55,145.0
2956,145.6,149.15,148.77
2955,149.6,152.39,152.2
2954,153.29,154.78,151.15
2953,151.4,152.34,146.51
2952,147.32,149.61,147.22
2951,147.67,148.27,145.77
2950,146.2,148.14,148.0
2949,148.8,148.95,145.91
2948,144.84,148.05,147.92
2947,148.27,148.9,148.26
2946,148.35,148.45,146.82
2945,146.84,147.35,146.04
2944,146.4,149.77,149.58
2943,152.82,153.53,150.6
2942,150.77,151.85,150.75
2941,150.15,151.1,149.92
2940,151.2,155.33,155.1
2939,152.94,156.46,156.16
2938,157.18,159.06,157.13
2937,153.34,154.78,151.35
2936,151.35,151.8,148.07
2935,147.65,149.15,148.19
2934,149.02,149.26,148.61
2933,148.85,148.85,146.9
2932,146.22,146.57,144.02
2931,144.2,146.4,145.95
2930,145.95,149.91,149.74
2929,149.15,150.01,148.8
2928,147.92,149.65,149.01
2927,148.9,149.4,146.32
2926,146.95,147.97,145.77
2925,146.13,146.49,145.93
2924,145.8,146.31,142.98
2923,143.09,143.43,142.17
2922,141.82,145.24,145.0
2921,145.04,146.53,142.14
2920,142.58,144.04,142.97
2919,142.9,143.43,142.69
2918,138.09,140.39,140.13
2917,140.64,140.87,140.14
2916,140.76,140.88,137.14
2915,138.22,140.01,139.93
2914,138.92,142.52,141.43
2913,141.42,142.14,141.44
2912,141.88,142.65,141.93
2911,141.26,144.7,144.37
2910,143.84,144.9,143.78
2909,144.26,144.39,143.14
2908,143.1,143.89,143.27
2907,143.4,145.14,144.37
2906,144.64,144.84,143.7
2905,143.09,147.9,147.58
2904,147.56,149.79,147.84
2903,148.79,149.7,149.69
2902,151.03,155.87,155.02
2901,154.65,157.92,156.0
2900,154.52,156.8,151.65
2899,149.91,153.53,151.46
2898,152.16,152.4,150.25
2897,150.65,153.15,152.05
2896,153.23,155.81,154.11
2895,154.36,157.04,156.11
2894,155.91,159.77,155.84
2893,156.66,158.76,157.84
2892,159.91,160.64,157.3
2891,157.63,159.36,157.13
2890,157.27,157.71,153.15
2889,153.49,155.52,154.96
2888,157.27,158.91,158.39
2887,156.97,160.22,159.5
2886,160.13,160.8,155.66
2885,156.5,157.61,155.51
2884,157.23,157.4,156.53
2883,157.55,158.49,156.65
2882,156.81,157.57,155.48
2881,155.46,156.48,153.2
2880,152.75,153.75,150.64
2879,151.15,151.15,148.87
2878,150.1,150.27,148.22
2877,148.9,152.75,152.65
2876,152.63,154.13,151.79
2875,152.15,155.09,154.5
2874,155.15,155.72,151.75
2873,173.07,173.39,170.12
2872,171.86,174.82,174.5
2871,173.06,173.87,173.63
2870,173.31,178.18,177.9
2869,178.48,178.72,176.71
2868,177.81,179.65,179.26
2867,180.3,187.56,186.26
2866,186.12,192.14,189.88
2865,191.04,192.69,190.03
2864,191.4,193.48,193.17
2863,195.18,196.09,195.41
2862,197.75,198.93,197.71
2861,197.32,197.99,195.14
2860,193.53,194.34,189.76
2859,189.37,195.87,195.75
2858,197.76,198.65,195.4
2857,196.26,199.31,198.68
2856,197.39,198.7,196.6
2855,198.3,199.62,199.27
2854,201.1,202.11,201.93
2853,201.95,202.45,200.31
2852,199.78,205.19,204.88
2851,204.53,208.86,208.44
2850,208.73,212.57,211.64
2849,213.1,214.59,214.52
2848,215.12,215.84,211.95
2847,212.44,213.41,201.97
2846,202.33,204.43,202.66
2845,204.8,207.93,207.25
2844,208.68,209.97,209.06
2843,208.71,208.96,203.13
2842,204.55,208.41,202.47
2841,203.28,203.55,202.31
2840,202.85,205.53,205.53
2839,207.71,208.1,204.8
2838,207.52,207.81,206.51
2837,206.46,209.21,208.95
2836,208.73,210.07,209.69
2835,209.76,211.78,211.48
2834,212.88,216.47,215.29
2833,216.32,223.33,212.51
2832,214.14,216.32,215.08
2831,216.99,218.65,213.38
2830,216.1,216.65,216.24
2829,216.29,216.47,215.68
2828,216.15,216.15,212.53
2827,212.38,214.1,213.56
